"filename", "language", "HTML", "Python", "comment", "blank", "total"
"d:\Desktop new\deployment\accounts\views.py", "Python", 0, -1, 0, 3, 2
"d:\Desktop new\deployment\animal\admin.py", "Python", 0, 1, 0, 0, 1
"d:\Desktop new\deployment\animal\consumers.py", "Python", 0, 20, 0, 3, 23
"d:\Desktop new\deployment\animal\migrations\0030_alter_summeryofletter_time.py", "Python", 0, 14, 1, 6, 21
"d:\Desktop new\deployment\templates\game.html", "HTML", 6, 0, 0, 1, 7
"d:\Desktop new\deployment\templates\join.html", "HTML", 5, 0, 0, 1, 6
"d:\Desktop new\deployment\templates\signup.html", "HTML", 17, 0, 4, 1, 22
"d:\Desktop new\deployment\templates\startroom.html", "HTML", 4, 0, 0, 2, 6
"d:\Desktop new\deployment\templates\waiting.html", "HTML", 2, 0, 0, -2, 0
"Total", "-", 34, 34, 5, 15, 88